@relation Concrete_Data2-weka.filters.unsupervised.attribute.Remove-R1

@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric

@data
%
98.1,24.5,181.7,6.7,1066,785.5,56,47.13
98.1,24.5,181.7,6.7,1066,785.5,100,49.97
53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
0,124.1,158.5,11.3,1078.7,794.9,3,15.34
0,124.1,158.5,11.3,1078.7,794.9,14,26.05
0,124.1,158.5,11.3,1078.7,794.9,28,30.22
0,124.1,158.5,11.3,1078.7,794.9,56,37.27
0,124.1,158.5,11.3,1078.7,794.9,100,46.23
147.2,0,185.7,0,1055,744.3,28,25.75
147.2,0,185.7,0,1055,744.3,7,13.09
0,96.7,189.3,4.5,967.1,870.3,3,11.58
0,96.7,189.3,4.5,967.1,870.3,14,24.45
0,96.7,189.3,4.5,967.1,870.3,28,24.89
0,96.7,189.3,4.5,967.1,870.3,56,29.45
0,96.7,189.3,4.5,967.1,870.3,100,40.71
0,0,181,0,1113,833,7,11.17
0,0,181,0,1113,833,28,17.34
342.1,0,185.7,0,955.8,674.3,28,39.7
342.1,0,185.7,0,955.8,674.3,7,21.92
0,118.2,195.2,6.1,1028.1,757.6,3,13.36
0,118.2,195.2,6.1,1028.1,757.6,14,22.32
0,118.2,195.2,6.1,1028.1,757.6,28,24.54
0,118.2,195.2,6.1,1028.1,757.6,56,31.35
0,118.2,195.2,6.1,1028.1,757.6,100,40.86
0,118.3,195.5,4.6,1029.4,758.6,3,10.03
0,118.3,195.5,4.6,1029.4,758.6,14,20.08
0,118.3,195.5,4.6,1029.4,758.6,28,24.48
0,118.3,195.5,4.6,1029.4,758.6,56,31.54
0,118.3,195.5,4.6,1029.4,758.6,100,35.34
0,121.6,174,6.7,1056.4,778.5,3,15.44
0,121.6,174,6.7,1056.4,778.5,14,26.77
0,121.6,174,6.7,1056.4,778.5,28,33.73
0,121.6,174,6.7,1056.4,778.5,56,42.7
0,121.6,174,6.7,1056.4,778.5,100,45.84
0,94.6,197.9,4.6,947,852.2,3,10.38
0,94.6,197.9,4.6,947,852.2,14,22.14
0,94.6,197.9,4.6,947,852.2,28,22.84
0,94.6,197.9,4.6,947,852.2,56,27.66
0,94.6,197.9,4.6,947,852.2,100,34.56
156,0,189,5.9,981,760,28,39.3
0,0,194,0,968,885,3,6.47
0,0,194,0,968,885,14,12.84
0,0,194,0,968,885,28,18.42
0,0,194,0,968,885,90,21.95
0,0,193,0,968,885,180,24.1
0,0,193,0,968,885,365,25.08
0,0,193,0,968,885,7,9.99
157,0,192,0,972.6,749.1,7,20.42
157,0,192,0,972.6,749.1,3,13.57
157,0,192,0,972.6,749.1,90,47.78
157,0,192,0,972.6,749.1,28,32.88
91.7,71.5,246.9,6,852.9,695.4,28,28.63
92,71,247,6,853,695,28,28.63
237.5,0,228,0,932,594,270,38.41
237.5,0,228,0,932,594,28,30.08
237.5,0,228,0,932,594,180,36.25
237.5,0,228,0,932,594,365,39
237.5,0,228,0,932,594,7,26.26
237.5,0,228,0,932,594,90,33.12
0,0,186,0,1119,789,7,12.05
0,0,186,0,1119,789,28,17.54
0,0,185,0,1118,789,28,17.54
0,94.1,186.7,7,949.9,847,3,19.93
0,94.1,186.7,7,949.9,847,14,25.69
0,94.1,186.7,7,949.9,847,28,30.23
0,94.1,186.7,7,949.9,847,56,39.59
0,94.1,186.7,7,949.9,847,100,44.3
0,0,185.7,0,1118.8,789.3,28,17.58
0,0,185.7,0,1118.8,789.3,7,10.34
158.8,0,185.7,0,1040.6,734.3,7,15.69
158.8,0,185.7,0,1040.6,734.3,28,26.91
359.4,0,185.7,0,941.6,664.3,7,25.42
359.4,0,185.7,0,941.6,664.3,28,39.44
0,125.1,143.3,12,1086.8,800.9,3,23.52
0,125.1,143.3,12,1086.8,800.9,14,42.22
0,125.1,143.3,12,1086.8,800.9,28,52.5
0,125.1,143.3,12,1086.8,800.9,56,60.32
0,125.1,143.3,12,1086.8,800.9,100,66.42
0,98.8,158.1,12.8,987.8,889,3,15.36
0,98.8,158.1,12.8,987.8,889,14,28.68
0,98.8,158.1,12.8,987.8,889,28,30.85
0,98.8,158.1,12.8,987.8,889,56,42.03
0,98.8,158.1,12.8,987.8,889,100,51.06
0,95.7,187.4,5.5,956.9,861.2,3,13.82
0,95.7,187.4,5.5,956.9,861.2,14,24.92
0,95.7,187.4,5.5,956.9,861.2,28,29.22
0,95.7,187.4,5.5,956.9,861.2,56,38.33
0,95.7,187.4,5.5,956.9,861.2,100,42.35
180,95,159,9.5,860,800,28,67.87
0,95.7,191.8,5.3,948.9,857.2,3,8.49
0,95.7,191.8,5.3,948.9,857.2,14,24.66
0,95.7,191.8,5.3,948.9,857.2,28,27.22
0,95.7,191.8,5.3,948.9,857.2,56,39.64
0,95.7,191.8,5.3,948.9,857.2,100,41.16
0,0,182,0,1100,820,7,12.73
0,0,182,0,1100,820,28,20.87
166.8,0,203.5,0,977.6,694.1,90,47.71
166.8,0,203.5,0,977.6,694.1,7,19.35
166.8,0,203.5,0,977.6,694.1,3,9.73
166.8,0,203.5,0,977.6,694.1,28,36.96
0,118.3,188.5,5.8,1028.4,757.7,3,17.22
0,118.3,188.5,5.8,1028.4,757.7,14,29.93
0,118.3,188.5,5.8,1028.4,757.7,28,29.65
0,118.3,188.5,5.8,1028.4,757.7,56,36.97
0,118.3,188.5,5.8,1028.4,757.7,100,43.58
0,118.3,188.5,6.4,1028.4,757.7,3,13.12
0,118.3,188.5,6.4,1028.4,757.7,14,24.43
0,118.3,188.5,6.4,1028.4,757.7,28,32.66
0,118.3,188.5,6.4,1028.4,757.7,56,36.64
0,118.3,188.5,6.4,1028.4,757.7,100,44.21
0,118.3,192.9,5.8,1043.6,754.3,3,11.98
0,118.3,192.9,5.8,1043.6,754.3,14,20.73
0,118.3,192.9,5.8,1043.6,754.3,28,33.27
0,118.3,192.9,5.8,1043.6,754.3,56,39.27
0,118.3,192.9,5.8,1043.6,754.3,100,40.15
0,99.9,146.1,12.4,1006,899.8,3,21.02
0,99.9,146.1,12.4,1006,899.8,14,33.36
0,99.9,146.1,12.4,1006,899.8,28,33.94
0,99.9,146.1,12.4,1006,899.8,56,44.14
0,99.9,146.1,12.4,1006,899.8,100,45.37
0,0,185,0,1111,784,7,13.71
