@relation Concrete_Data1-weka.filters.unsupervised.attribute.Remove-R1

@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric

@data
%
153,0,192,0,887,942,3,4.57
153,0,192,0,887,942,90,25.46
153,0,192,0,887,942,7,7.68
153,0,192,0,887,942,28,17.28
162.4,0,203.5,0,938.2,849,28,20.59
162.4,0,203.5,0,938.2,849,90,29.23
162.4,0,203.5,0,938.2,849,3,2.33
162.4,0,203.5,0,938.2,849,7,7.72
173,0,192,0,909.8,891.9,90,31.02
173,0,192,0,909.8,891.9,28,22.35
173,0,192,0,909.8,891.9,3,6.28
173,0,192,0,909.8,891.9,7,10.09
183.9,0,203.5,0,958.2,800.1,90,33.19
183.9,0,203.5,0,958.2,800.1,28,24.29
183.9,0,203.5,0,958.2,800.1,3,3.32
183.9,0,203.5,0,958.2,800.1,7,10.35
207,161,179,5,867,736,28,33.3
206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
200,0,192,0,927.4,839.2,28,27.87
200,0,192,0,927.4,839.2,90,36.59
200,0,192,0,927.4,839.2,7,13.66
200,0,192,0,927.4,839.2,3,6.88
210,0,196,3,949,795,28,31.03
210.2,0,195.7,3.1,949.4,795.3,28,28.94
0,165.7,180.2,10,961,804.9,28,13.29
0,166,180,10,961,805,28,13.29
105,193,196,6,965,643,28,21.91
203.5,0,185.7,0,1076.2,759.3,7,7.51
203.5,0,185.7,0,1076.2,759.3,28,18.2
162,126,172,10,923,764,28,29.07
196,98,199,6,847,783,28,26.97
161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
209.4,0,192,0,1047,806.9,90,39.36
209.4,0,192,0,1047,806.9,28,28.24
209.4,0,192,0,1047,806.9,3,8.06
209.4,0,192,0,1047,806.9,180,44.21
209.4,0,192,0,1047,806.9,7,14.59
209.4,0,192,0,1047,806.9,360,44.7
163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
132.6,103.3,200.3,7.4,916,753.4,28,36.44
164,128,237,6,869,656,28,35.23
133,103,200,7,916,753,28,36.44
212,0,203.5,0,971.8,748.5,28,29.89
212,0,203.5,0,971.8,748.5,7,10.39
212,0,203.5,0,971.8,748.5,90,39.66
212,0,203.5,0,971.8,748.5,3,4.83
166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
167,130,174,11,883,785,28,44.61
169,143,191,8,967,643,28,29.72
169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
0,174.9,158.4,17.9,942.7,844.5,28,15.42
170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
0,175,158,18,943,844,28,15.42
170,133,192,8,814,805,28,29.87
136,106,178,7,941,774,28,26.14
15,195,176,6,1021,709,28,15.34
0,133.6,180.8,11.1,979.5,811.5,28,13.2
116,119,184,5.7,833,880,28,29.16
0,134,181,11,979,812,28,13.2
0,179,202,8,824,869,28,10.54
0,178.9,201.7,7.8,824,868.7,28,10.54
172.6,0,181.9,3.4,985.8,816.8,28,23.74
230.5,0,202.5,3.4,827,871.8,28,32.72
230,0,202,3,827,872,28,33.06
173,0,182,3,986,817,28,23.74
114.6,89.3,201.9,8.8,860,829.5,28,19.99
115,89,202,9,860,829,28,19.99
175.1,0,171.2,2.2,1000,828.5,28,26.92
0,137,158,16,1002,830,28,17.95
0,182,181,15,839,884,28,15.52
175,0,171,2,1000,828,28,26.92
0,136.6,158.1,16.1,1001.8,830.1,28,17.96
0,182.1,181.4,15,838.9,884.3,28,15.53
139.4,108.6,192.7,6.1,892.4,780,28,23.7
