@relation housing_data1-weka.filters.unsupervised.attribute.Remove-R5

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric

@data
%
0.01965,80,1.76,0,6.23,31.5,9.0892,1,241,18.2,341.6,12.93,20.1
0.01096,55,2.25,0,6.453,31.9,7.3073,1,300,15.3,394.72,8.23,22
0.04819,80,3.64,0,6.108,32,9.2203,1,315,16.4,392.89,6.57,21.9
0.03548,80,3.64,0,5.876,19.1,9.2203,1,315,16.4,395.18,9.25,20.9
0.01538,90,3.75,0,7.454,34.2,6.3361,3,244,15.9,386.34,3.11,44
0.03584,80,3.37,0,6.29,17.8,6.6115,4,337,16.1,396.9,4.67,23.5
0.04379,80,3.37,0,5.787,31.1,6.6115,4,337,16.1,396.9,10.24,19.4
0.00906,90,2.97,0,7.088,20.8,7.3073,1,285,15.3,394.72,7.85,32.2
0.06466,70,2.24,0,6.345,20.1,7.8278,5,358,14.8,368.24,4.97,22.5
0.05561,70,2.24,0,7.041,10,7.8278,5,358,14.8,371.58,4.74,29
0.04417,70,2.24,0,6.871,47.4,7.8278,5,358,14.8,390.86,6.07,24.8
0.02187,60,2.93,0,6.8,9.9,6.2196,1,265,15.6,393.37,5.03,31.1
0.01439,60,2.93,0,6.604,18.8,6.2196,1,265,15.6,376.7,4.38,29.1
0.01501,90,1.21,1,7.923,24.8,5.885,1,198,13.6,395.52,3.16,50
0.01311,90,1.22,0,7.249,21.9,8.6966,5,226,17.9,395.93,4.81,35.4
0.0315,95,1.47,0,6.975,15.3,7.6534,3,402,17,396.9,4.56,34.9
0.01778,95,1.47,0,7.135,13.9,7.6534,3,402,17,384.3,4.45,32.9
0.04011,80,1.52,0,7.287,34.1,7.309,2,329,12.6,396.9,4.08,33.3
0.04666,80,1.52,0,7.107,36.6,7.309,2,329,12.6,354.31,8.61,30.3
0.03768,80,1.52,0,7.274,38.3,7.309,2,329,12.6,392.2,6.62,34.6
0.03871,52.5,5.32,0,6.209,31.3,7.3172,6,293,16.6,396.9,7.14,23.2
0.0459,52.5,5.32,0,6.315,45.6,7.3172,6,293,16.6,396.9,7.6,22.3
0.04297,52.5,5.32,0,6.565,22.9,7.3172,6,293,16.6,371.72,9.51,24.8
0.05789,12.5,6.07,0,5.878,21.4,6.498,4,345,18.9,396.21,8.1,22
0.13554,12.5,6.07,0,5.594,36.8,6.498,4,345,18.9,396.9,13.09,17.4
0.12816,12.5,6.07,0,5.885,33,6.498,4,345,18.9,396.9,8.79,20.9
0.0136,75,4,0,5.888,47.6,7.3197,3,469,21.1,396.9,14.8,18.9
0.02055,85,0.74,0,6.383,35.7,9.1876,2,313,17.3,396.9,5.77,24.7
0.01709,90,2.02,0,6.728,36.1,12.1265,5,187,17,384.46,4.5,30.1
0.01432,100,1.32,0,6.816,40.5,8.3248,5,256,15.1,392.9,3.95,31.6
0.03502,80,4.95,0,6.861,27.9,5.1167,4,245,19.2,396.9,3.33,28.5
0.07886,80,4.95,0,7.148,27.7,5.1167,4,245,19.2,396.9,3.56,37.3
0.03615,80,4.95,0,6.63,23.4,5.1167,4,245,19.2,396.9,4.7,27.9
0.0795,60,1.69,0,6.579,35.9,10.7103,4,411,18.3,370.78,5.49,24.1
0.07244,60,1.69,0,5.884,18.5,10.7103,4,411,18.3,392.33,7.79,18.6
0.08826,0,10.81,0,6.417,6.6,5.2873,4,305,19.2,383.73,6.72,24.2
0.15876,0,10.81,0,5.961,17.5,5.2873,4,305,19.2,376.94,9.88,21.7
0.09164,0,10.81,0,6.065,7.8,5.2873,4,305,19.2,390.91,5.52,22.8
0.19539,0,10.81,0,6.245,6.2,5.2873,4,305,19.2,377.17,7.54,23.4
0.04301,80,1.91,0,5.663,21.9,10.5857,4,334,22,382.8,8.05,18.2
0.10659,80,1.91,0,5.936,19.5,10.5857,4,334,22,376.04,5.57,20.6
0.03445,82.5,2.03,0,6.162,38.4,6.27,2,348,14.7,393.77,7.43,24.1
0.02177,82.5,2.03,0,7.61,15.7,6.27,2,348,14.7,395.38,3.11,42.3
0.01951,17.5,1.38,0,7.104,59.5,9.2229,3,216,18.6,393.24,8.05,33
0.0351,95,2.68,0,7.853,33.2,5.118,4,224,14.7,392.78,3.81,48.5
0.02009,95,2.68,0,8.034,31.9,5.118,4,224,14.7,390.55,2.88,50
0.01381,80,0.46,0,7.875,32,5.6484,4,255,14.4,394.23,2.97,50
0.04113,25,4.86,0,6.727,33.5,5.4007,4,281,19,396.9,5.29,28
0.04462,25,4.86,0,6.619,70.4,5.4007,4,281,19,395.63,7.22,23.9
0.03659,25,4.86,0,6.302,32.2,5.4007,4,281,19,396.9,6.72,24.8
0.03551,25,4.86,0,6.167,46.7,5.4007,4,281,19,390.64,7.51,22.9
0.02763,75,2.95,0,6.595,21.8,5.4011,3,252,18.3,395.63,4.32,30.8
0.03359,75,2.95,0,7.024,15.8,5.4011,3,252,18.3,395.62,1.98,34.9
0.08244,30,4.93,0,6.481,18.5,6.1899,6,300,16.6,379.41,6.36,23.7
0.09252,30,4.93,0,6.606,42.2,6.1899,6,300,16.6,383.78,7.37,23.3
0.11329,30,4.93,0,6.897,54.3,6.3361,6,300,16.6,391.25,11.38,22
0.10612,30,4.93,0,6.095,65.1,6.3361,6,300,16.6,394.62,12.4,20.1
0.1029,30,4.93,0,6.358,52.9,7.0355,6,300,16.6,372.75,11.22,22.2
0.12757,30,4.93,0,6.393,7.8,7.0355,6,300,16.6,374.71,5.19,23.7
0.0187,85,4.15,0,6.516,27.7,8.5353,4,351,17.9,392.43,6.36,23.1
0.02899,40,1.25,0,6.939,34.5,8.7921,1,335,19.7,389.85,5.89,26.6
