@relation auto-mpg3-weka.filters.unsupervised.attribute.Remove-R6

@attribute cyl numeric
@attribute disp numeric
@attribute horse numeric
@attribute weight numeric
@attribute accel numeric
@attribute orig numeric
@attribute mpg numeric

@data
%
4,98,68,2155,16.5,1,30
4,134,95,2560,14.2,3,27.5
4,119,97,2300,14.7,3,27.2
4,105,75,2230,14.5,1,30.9
4,134,95,2515,14.8,3,21.1
4,156,105,2745,16.7,1,23.2
4,151,85,2855,17.6,1,23.8
4,119,97,2405,14.9,3,23.9
5,131,103,2830,15.9,2,20.3
6,163,125,3140,13.6,2,17
4,121,115,2795,15.7,2,21.6
6,163,133,3410,15.8,2,16.2
4,89,71,1990,14.9,2,31.5
4,98,68,2135,16.6,3,29.5
6,231,115,3245,15.4,1,21.5
6,200,85,2990,18.2,1,19.8
4,140,88,2890,17.3,1,22.3
6,232,90,3265,18.2,1,20.2
6,225,110,3360,16.6,1,20.6
8,305,130,3840,15.4,1,17
8,302,129,3725,13.4,1,17.6
8,351,138,3955,13.2,1,16.5
8,318,135,3830,15.2,1,18.2
8,350,155,4360,14.9,1,16.9
8,351,142,4054,14.3,1,15.5
8,267,125,3605,15,1,19.2
8,360,150,3940,13,1,18.5
4,89,71,1925,14,2,31.9
4,86,65,1975,15.2,3,34.1
4,98,80,1915,14.4,1,35.7
4,121,80,2670,15,1,27.4
5,183,77,3530,20.1,2,25.4
8,350,125,3900,17.4,1,23
4,141,71,3190,24.8,2,27.2
8,260,90,3420,22.2,1,23.9
4,105,70,2200,13.2,1,34.2
4,105,70,2150,14.9,1,34.5
4,85,65,2020,19.2,3,31.8
4,91,69,2130,14.7,2,37.3
4,151,90,2670,16,1,28.4
6,173,115,2595,11.3,1,28.8
6,173,115,2700,12.9,1,26.8
4,151,90,2556,13.2,1,33.5
4,98,76,2144,14.7,2,41.5
4,89,60,1968,18.8,3,38.1
4,98,70,2120,15.5,1,32.1
4,86,65,2019,16.4,3,37.2
4,151,90,2678,16.5,1,28
4,140,88,2870,18.1,1,26.4
4,151,90,3003,20.1,1,24.3
6,225,90,3381,18.7,1,19.1
4,97,78,2188,15.8,2,34.3
4,134,90,2711,15.5,3,29.8
4,120,75,2542,17.5,3,31.3
4,119,92,2434,15,3,37
4,108,75,2265,15.2,3,32.2
4,86,65,2110,17.9,3,46.6
4,156,105,2800,14.4,1,27.9
4,85,65,2110,19.2,3,40.8
4,90,48,2085,21.7,2,44.3
4,90,48,2335,23.7,2,43.4
5,121,67,2950,19.9,2,36.4
4,146,67,3250,21.8,2,30
4,91,67,1850,13.8,3,44.6
4,85,?,1835,17.3,2,40.9
4,97,67,2145,18,3,33.8
4,89,62,1845,15.3,2,29.8
6,168,132,2910,11.4,3,32.7
3,70,100,2420,12.5,3,23.7
4,122,88,2500,15.1,2,35
4,140,?,2905,14.3,1,23.6
4,107,72,2290,17,3,32.4
4,135,84,2490,15.7,1,27.2
4,151,84,2635,16.4,1,26.6
4,156,92,2620,14.4,1,25.8
6,173,110,2725,12.6,1,23.5
4,135,84,2385,12.9,1,30
4,79,58,1755,16.9,3,39.1
4,86,64,1875,16.4,1,39
4,81,60,1760,16.1,3,35.1
4,97,67,2065,17.8,3,32.3
4,85,65,1975,19.4,3,37
4,89,62,2050,17.3,3,37.7
4,91,68,1985,16,3,34.1
4,105,63,2215,14.9,1,34.7
4,98,65,2045,16.2,1,34.4
4,98,65,2380,20.7,1,29.9
4,105,74,2190,14.2,2,33
4,100,?,2320,15.8,2,34.5
4,107,75,2210,14.4,3,33.7
4,108,75,2350,16.8,3,32.4
4,119,100,2615,14.8,3,32.9
4,120,74,2635,18.3,3,31.6
4,141,80,3230,20.4,2,28.1
6,145,76,3160,19.6,2,30.7
6,168,116,2900,12.6,3,25.4
6,146,120,2930,13.8,3,24.2
6,231,110,3415,15.8,1,22.4
8,350,105,3725,19,1,26.6
6,200,88,3060,17.1,1,20.2
6,225,85,3465,16.6,1,17.6
4,112,88,2605,19.6,1,28
4,112,88,2640,18.6,1,27
4,112,88,2395,18,1,34
4,112,85,2575,16.2,1,31
4,135,84,2525,16,1,29
4,151,90,2735,18,1,27
4,140,92,2865,16.4,1,24
4,151,?,3035,20.5,1,23
4,105,74,1980,15.3,2,36
4,91,68,2025,18.2,3,37
4,91,68,1970,17.6,3,31
4,105,63,2125,14.7,1,38
4,98,70,2125,17.3,1,36
4,120,88,2160,14.5,3,36
4,107,75,2205,14.5,3,36
4,108,70,2245,16.9,3,34
4,91,67,1965,15,3,38
4,91,67,1965,15.7,3,32
4,91,67,1995,16.2,3,38
6,181,110,2945,16.4,1,25
6,262,85,3015,17,1,38
4,156,92,2585,14.5,1,26
6,232,112,2835,14.7,1,22
4,144,96,2665,13.9,3,32
4,135,84,2370,13,1,36
4,151,90,2950,17.3,1,27
4,140,86,2790,15.6,1,27
4,97,52,2130,24.6,2,44
4,135,84,2295,11.6,1,32
4,120,79,2625,18.6,1,28
4,119,82,2720,19.4,1,31
